Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:PRX,"Prosus N.V. (JSE:PRX)",https://www.listcorp.com/jse/prx/prosus-nv,"	2492540000000",1202.01,0.00,0,Technology
JSE:ANH,"Anheuser-Busch Inbev (JSE:ANH)",https://www.listcorp.com/jse/anh/anheuser-busch-inbev,"	1687560000000",971.44,0.00,0,"Consumer Goods"
JSE:BTI,"British American Tobacco (JSE:BTI)",https://www.listcorp.com/jse/bti/british-american-tobacco,"	1626280000000",662,0.00,0,"Consumer Goods"
JSE:GLN,"Glencore plc (JSE:GLN)",https://www.listcorp.com/jse/gln/glencore-plc,"	1199860000000",82.26,0.00,0,"Basic Materials"
JSE:CFR,"Compagnie Fin Richemont (JSE:CFR)",https://www.listcorp.com/jse/cfr/compagnie-fin-richemont,"	1131070000000",216.68,0.00,0,"Consumer Goods"
JSE:BHP,"BHP Group plc (JSE:BHP)",https://www.listcorp.com/jse/bhp/bhp-group-plc,"	1056040000000",500,0.00,0,"Basic Materials"
JSE:NPN,"Naspers Limited - N (JSE:NPN)",https://www.listcorp.com/jse/npn/naspers-limited-n,"	1022430000000",2347.66,0.00,0,Technology
JSE:AGL,"Anglo American plc (JSE:AGL)",https://www.listcorp.com/jse/agl/anglo-american-plc,"	929147000000",693.41,0.00,0,"Basic Materials"
JSE:AMS,"Anglo American Platinum Ltd (JSE:AMS)",https://www.listcorp.com/jse/ams/anglo-american-platinum-ltd,"	472393000000",1780.65,0.00,0,"Basic Materials"
JSE:FSR,"Firstrand Limited (JSE:FSR)",https://www.listcorp.com/jse/fsr/firstrand-limited,"	351098000000",62.59,0.00,0,Financials
JSE:MTN,"MTN Group Limited (JSE:MTN)",https://www.listcorp.com/jse/mtn/mtn-group-limited,"	328504000000",174.34,0.00,0,Telecommunications
JSE:VOD,"Vodacom Group Limited (JSE:VOD)",https://www.listcorp.com/jse/vod/vodacom-group-limited,"	261280000000",142.32,0.00,0,Telecommunications
JSE:SBK,"Standard Bank Group (JSE:SBK)",https://www.listcorp.com/jse/sbk/standard-bank-group,"	241879000000",149.31,0.00,0,Financials
JSE:CPI,"Capitec Bank Holdings (JSE:CPI)",https://www.listcorp.com/jse/cpi/capitec-bank-holdings,"	230275000000",1991.53,0.00,0,Financials
JSE:SOL,"Sasol Limited (JSE:SOL)",https://www.listcorp.com/jse/sol/sasol-limited,"	215726000000",342.9,0.00,0,"Basic Materials"
JSE:S32,"South32 Limited (JSE:S32)",https://www.listcorp.com/jse/s32/south32-limited,"	197762000000",42.53,0.00,0,"Basic Materials"
JSE:IMP,"Impala Platinum Holdings Limited (JSE:IMP)",https://www.listcorp.com/jse/imp/implats,"	188231000000",222,0.00,0,"Basic Materials"
